resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId,date,results_rownum
3037,162,35,16,22.0,6,,19,0.0,21,,,,9,2000-05-07 00:00:00,results_3037
3038,162,55,20,14.0,17,,20,0.0,1,,,,4,2000-05-07 00:00:00,results_3038
3039,162,37,21,18.0,22,,21,0.0,1,,,,4,2000-05-07 00:00:00,results_3039
3040,162,64,15,16.0,15,,22,0.0,0,,,,20,2000-05-07 00:00:00,results_3040
3041,163,30,6,3.0,2,1.0,1,10.0,67,6120307.0,,,1,2000-05-21 00:00:00,results_3041
3042,163,57,1,1.0,3,2.0,2,6.0,67,6134129.0,,,1,2000-05-21 00:00:00,results_3042
3043,163,14,1,2.0,1,3.0,3,4.0,66,,,,11,2000-05-21 00:00:00,results_3043
3044,163,22,6,4.0,4,4.0,4,3.0,66,,,,11,2000-05-21 00:00:00,results_3044
3045,163,21,22,11.0,7,5.0,5,2.0,66,,,,11,2000-05-21 00:00:00,results_3045
3046,163,37,21,18.0,12,6.0,6,1.0,66,,,,11,2000-05-21 00:00:00,results_3046
3047,163,64,15,16.0,15,7.0,7,0.0,65,,,,12,2000-05-21 00:00:00,results_3047
3048,163,60,18,21.0,21,8.0,8,0.0,65,,,,12,2000-05-21 00:00:00,results_3048
3049,163,55,20,14.0,17,9.0,9,0.0,65,,,,12,2000-05-21 00:00:00,results_3049
3050,163,18,3,10.0,11,10.0,10,0.0,62,,,,10,2000-05-21 00:00:00,results_3050
3051,163,65,19,8.0,16,11.0,11,0.0,61,,,,4,2000-05-21 00:00:00,results_3051
3052,163,25,22,12.0,14,12.0,12,0.0,61,,,,4,2000-05-21 00:00:00,results_3052
3053,163,41,16,23.0,18,,13,0.0,51,,,,20,2000-05-21 00:00:00,results_3053
3054,163,48,18,20.0,20,,14,0.0,47,,,,37,2000-05-21 00:00:00,results_3054
3055,163,35,16,22.0,9,,15,0.0,46,,,,5,2000-05-21 00:00:00,results_3055
3056,163,56,19,7.0,8,,16,0.0,29,,,,4,2000-05-21 00:00:00,results_3056
3057,163,50,21,19.0,13,,17,0.0,29,,,,20,2000-05-21 00:00:00,results_3057
3058,163,23,3,9.0,5,,18,0.0,29,,,,4,2000-05-21 00:00:00,results_3058
3059,163,63,15,17.0,19,,19,0.0,27,,,,86,2000-05-21 00:00:00,results_3059
3060,163,49,17,5.0,10,,20,0.0,2,,,,5,2000-05-21 00:00:00,results_3060
3061,163,15,17,6.0,6,,21,0.0,0,,,,4,2000-05-21 00:00:00,results_3061
3062,164,14,1,2.0,3,1.0,1,10.0,78,6568213.0,,,1,2000-06-04 00:00:00,results_3062
3063,164,22,6,4.0,6,2.0,2,6.0,78,6584102.0,,,1,2000-06-04 00:00:00,results_3063
3064,164,21,22,11.0,8,3.0,3,4.0,78,6586735.0,,,1,2000-06-04 00:00:00,results_3064
3065,164,56,19,7.0,10,4.0,4,3.0,78,6634137.0,,,1,2000-06-04 00:00:00,results_3065
3066,164,63,15,17.0,13,5.0,5,2.0,78,6648988.0,,,1,2000-06-04 00:00:00,results_3066
3067,164,57,1,1.0,5,6.0,6,1.0,77,,,,11,2000-06-04 00:00:00,results_3067
3068,164,35,16,22.0,17,7.0,7,0.0,77,,,,11,2000-06-04 00:00:00,results_3068
3069,164,2,20,15.0,18,8.0,8,0.0,77,,,,11,2000-06-04 00:00:00,results_3069
3070,164,65,19,8.0,11,9.0,9,0.0,76,,,,12,2000-06-04 00:00:00,results_3070
3071,164,49,17,5.0,4,10.0,10,0.0,70,,,,20,2000-06-04 00:00:00,results_3071
3072,164,50,21,19.0,15,,11,0.0,60,,,,20,2000-06-04 00:00:00,results_3072
3073,164,30,6,3.0,1,,12,0.0,55,,,,22,2000-06-04 00:00:00,results_3073
3074,164,41,16,23.0,20,,13,0.0,48,,,,20,2000-06-04 00:00:00,results_3074
3075,164,23,3,9.0,9,,14,0.0,37,,,,20,2000-06-04 00:00:00,results_3075
3076,164,15,17,6.0,2,,15,0.0,36,,,,6,2000-06-04 00:00:00,results_3076
3077,164,64,15,16.0,19,,16,0.0,30,,,,20,2000-06-04 00:00:00,results_3077
3078,164,55,20,14.0,7,,17,0.0,29,,,,7,2000-06-04 00:00:00,results_3078
3079,164,60,18,21.0,22,,18,0.0,22,,,,20,2000-06-04 00:00:00,results_3079
3080,164,48,18,20.0,21,,19,0.0,21,,,,6,2000-06-04 00:00:00,results_3080
3081,164,25,22,12.0,12,,20,0.0,18,,,,20,2000-06-04 00:00:00,results_3081
3082,164,18,3,10.0,14,,21,0.0,16,,,,5,2000-06-04 00:00:00,results_3082
3083,164,37,21,18.0,16,,22,0.0,0,,,,90,2000-06-04 00:00:00,results_3083
3084,165,30,6,3.0,1,1.0,1,10.0,69,6072313.0,,,1,2000-06-18 00:00:00,results_3084
3085,165,22,6,4.0,3,2.0,2,6.0,69,6072487.0,,,1,2000-06-18 00:00:00,results_3085
3086,165,21,22,11.0,10,3.0,3,4.0,69,6087678.0,,,1,2000-06-18 00:00:00,results_3086
3087,165,57,1,1.0,4,4.0,4,3.0,69,6090874.0,,,1,2000-06-18 00:00:00,results_3087
3088,165,50,21,19.0,13,5.0,5,2.0,69,6124521.0,,,1,2000-06-18 00:00:00,results_3088
3089,165,15,17,6.0,7,6.0,6,1.0,69,6134000.0,,,1,2000-06-18 00:00:00,results_3089
3090,165,14,1,2.0,2,7.0,7,0.0,69,6134529.0,,,1,2000-06-18 00:00:00,results_3090
3091,165,41,16,23.0,8,8.0,8,0.0,69,6142768.0,,,1,2000-06-18 00:00:00,results_3091
3092,165,25,22,12.0,14,9.0,9,0.0,69,6152212.0,,,1,2000-06-18 00:00:00,results_3092
3093,165,64,15,16.0,19,10.0,10,0.0,69,6186857.0,,,1,2000-06-18 00:00:00,results_3093
3094,165,18,3,10.0,18,11.0,11,0.0,68,,,,11,2000-06-18 00:00:00,results_3094
3095,165,60,18,21.0,22,12.0,12,0.0,68,,,,11,2000-06-18 00:00:00,results_3095
3096,165,56,19,7.0,16,13.0,13,0.0,66,,,,13,2000-06-18 00:00:00,results_3096
3097,165,23,3,9.0,12,14.0,14,0.0,64,,,,4,2000-06-18 00:00:00,results_3097
3098,165,35,16,22.0,6,15.0,15,0.0,64,,,,4,2000-06-18 00:00:00,results_3098
3099,165,48,18,20.0,20,16.0,16,0.0,64,,,,20,2000-06-18 00:00:00,results_3099
3100,165,37,21,18.0,9,,17,0.0,48,,,,4,2000-06-18 00:00:00,results_3100
3101,165,63,15,17.0,15,,18,0.0,42,,,,10,2000-06-18 00:00:00,results_3101
3102,165,55,20,14.0,17,,19,0.0,38,,,,10,2000-06-18 00:00:00,results_3102
3103,165,2,20,15.0,21,,20,0.0,34,,,,5,2000-06-18 00:00:00,results_3103
3104,165,49,17,5.0,5,,21,0.0,32,,,,23,2000-06-18 00:00:00,results_3104
3105,165,65,19,8.0,11,,22,0.0,14,,,,6,2000-06-18 00:00:00,results_3105
3106,166,14,1,2.0,2,1.0,1,10.0,72,5885538.0,,,1,2000-07-02 00:00:00,results_3106
3107,166,57,1,1.0,4,2.0,2,6.0,72,5900286.0,,,1,2000-07-02 00:00:00,results_3107
3108,166,22,6,4.0,3,3.0,3,4.0,72,5917947.0,,,1,2000-07-02 00:00:00,results_3108
3109,166,35,16,22.0,7,4.0,4,3.0,72,5946860.0,,,1,2000-07-02 00:00:00,results_3109
3110,166,23,3,9.0,5,5.0,5,2.0,72,5949519.0,,,1,2000-07-02 00:00:00,results_3110
3111,166,15,17,6.0,9,6.0,6,1.0,72,5961143.0,,,1,2000-07-02 00:00:00,results_3111
3112,166,49,17,5.0,8,7.0,7,0.0,71,,,,11,2000-07-02 00:00:00,results_3112
3113,166,18,3,10.0,10,8.0,8,0.0,71,,,,11,2000-07-02 00:00:00,results_3113
3114,166,21,22,11.0,14,9.0,9,0.0,71,,,,11,2000-07-02 00:00:00,results_3114
3115,166,63,15,17.0,12,10.0,10,0.0,71,,,,11,2000-07-02 00:00:00,results_3115
3116,166,64,15,16.0,15,11.0,11,0.0,71,,,,11,2000-07-02 00:00:00,results_3116
3117,166,2,20,15.0,16,12.0,12,0.0,71,,,,11,2000-07-02 00:00:00,results_3117
3118,166,56,19,7.0,6,13.0,13,0.0,70,,,,12,2000-07-02 00:00:00,results_3118
3119,166,55,20,14.0,18,14.0,14,0.0,70,,,,12,2000-07-02 00:00:00,results_3119
3120,166,48,18,20.0,21,15.0,15,0.0,70,,,,12,2000-07-02 00:00:00,results_3120
3121,166,30,6,3.0,1,,16,0.0,58,,,,5,2000-07-02 00:00:00,results_3121
3122,166,37,21,18.0,13,,17,0.0,45,,,,7,2000-07-02 00:00:00,results_3122
3123,166,25,22,12.0,17,,18,0.0,34,,,,20,2000-07-02 00:00:00,results_3123
3124,166,60,18,21.0,22,,19,0.0,31,,,,20,2000-07-02 00:00:00,results_3124
3125,166,50,21,19.0,20,,20,0.0,25,,,,7,2000-07-02 00:00:00,results_3125
3126,166,65,19,8.0,11,,21,0.0,20,,,,6,2000-07-02 00:00:00,results_3126
3127,166,41,16,23.0,19,,22,0.0,16,,,,20,2000-07-02 00:00:00,results_3127
3128,167,57,1,1.0,1,1.0,1,10.0,71,5295818.0,,,1,2000-07-16 00:00:00,results_3128
3129,167,14,1,2.0,2,2.0,2,6.0,71,5308353.0,,,1,2000-07-16 00:00:00,results_3129
3130,167,22,6,4.0,3,3.0,3,4.0,71,5326613.0,,,1,2000-07-16 00:00:00,results_3130
3131,167,35,16,22.0,7,4.0,4,3.0,70,,,,11,2000-07-16 00:00:00,results_3131
3132,167,18,3,10.0,18,5.0,5,2.0,70,,,,11,2000-07-16 00:00:00,results_3132
3133,167,63,15,17.0,9,6.0,6,1.0,70,,,,11,2000-07-16 00:00:00,results_3133
3134,167,65,19,8.0,16,7.0,7,0.0,70,,,,11,2000-07-16 00:00:00,results_3134
3135,167,48,18,20.0,20,8.0,8,0.0,70,,,,11,2000-07-16 00:00:00,results_3135
3136,167,64,15,16.0,11,9.0,9,0.0,70,,,,11,2000-07-16 00:00:00,results_3136
3137,167,25,22,12.0,14,10.0,10,0.0,70,,,,11,2000-07-16 00:00:00,results_3137
3138,167,54,19,7.0,21,11.0,11,0.0,69,,,,12,2000-07-16 00:00:00,results_3138
3139,167,60,18,21.0,22,12.0,12,0.0,68,,,,13,2000-07-16 00:00:00,results_3139
3140,167,41,16,23.0,6,,13,0.0,58,,,,5,2000-07-16 00:00:00,results_3140
3141,167,23,3,9.0,19,,14,0.0,52,,,,23,2000-07-16 00:00:00,results_3141
3142,167,2,20,15.0,13,,15,0.0,41,,,,4,2000-07-16 00:00:00,results_3142
3143,167,55,20,14.0,17,,16,0.0,41,,,,4,2000-07-16 00:00:00,results_3143
3144,167,37,21,18.0,12,,17,0.0,32,,,,6,2000-07-16 00:00:00,results_3144
3145,167,50,21,19.0,10,,18,0.0,14,,,,5,2000-07-16 00:00:00,results_3145
3146,167,49,17,5.0,15,,19,0.0,4,,,,44,2000-07-16 00:00:00,results_3146
3147,167,30,6,3.0,4,,20,0.0,0,,,,4,2000-07-16 00:00:00,results_3147
3148,167,15,17,6.0,5,,21,0.0,0,,,,4,2000-07-16 00:00:00,results_3148
3149,167,21,22,11.0,8,,22,0.0,0,,,,4,2000-07-16 00:00:00,results_3149
3150,168,22,6,4.0,18,1.0,1,10.0,45,5134418.0,,,1,2000-07-30 00:00:00,results_3150
3151,168,57,1,1.0,4,2.0,2,6.0,45,5141870.0,,,1,2000-07-30 00:00:00,results_3151
3152,168,14,1,2.0,1,3.0,3,4.0,45,5155586.0,,,1,2000-07-30 00:00:00,results_3152
3153,168,18,3,10.0,16,4.0,4,3.0,45,5157103.0,,,1,2000-07-30 00:00:00,results_3153
3154,168,63,15,17.0,15,5.0,5,2.0,45,5161530.0,,,1,2000-07-30 00:00:00,results_3154
3155,168,37,21,18.0,5,6.0,6,1.0,45,5163498.0,,,1,2000-07-30 00:00:00,results_3155
3156,168,23,3,9.0,14,7.0,7,0.0,45,5165316.0,,,1,2000-07-30 00:00:00,results_3156
3157,168,35,16,22.0,9,8.0,8,0.0,45,5181955.0,,,1,2000-07-30 00:00:00,results_3157
3158,168,15,17,6.0,6,9.0,9,0.0,45,5185319.0,,,1,2000-07-30 00:00:00,results_3158
3159,168,56,19,7.0,10,10.0,10,0.0,45,5214082.0,,,1,2000-07-30 00:00:00,results_3159
3160,168,60,18,21.0,21,11.0,11,0.0,45,5223922.0,,,1,2000-07-30 00:00:00,results_3160
3161,168,2,20,15.0,13,12.0,12,0.0,40,,,,91,2000-07-30 00:00:00,results_3161
3162,168,49,17,5.0,17,,13,0.0,39,,,,6,2000-07-30 00:00:00,results_3162
3163,168,50,21,19.0,11,,14,0.0,39,,,,20,2000-07-30 00:00:00,results_3163
3164,168,41,16,23.0,12,,15,0.0,37,,,,20,2000-07-30 00:00:00,results_3164
3165,168,48,18,20.0,22,,16,0.0,33,,,,5,2000-07-30 00:00:00,results_3165
3166,168,25,22,12.0,7,,17,0.0,31,,,,10,2000-07-30 00:00:00,results_3166
3167,168,64,15,16.0,19,,18,0.0,29,,,,4,2000-07-30 00:00:00,results_3167
3168,168,55,20,14.0,20,,19,0.0,29,,,,4,2000-07-30 00:00:00,results_3168
3169,168,65,19,8.0,8,,20,0.0,12,,,,6,2000-07-30 00:00:00,results_3169
3170,168,30,6,3.0,2,,21,0.0,0,,,,4,2000-07-30 00:00:00,results_3170
3171,168,21,22,11.0,3,,22,0.0,0,,,,4,2000-07-30 00:00:00,results_3171
3172,169,57,1,1.0,3,1.0,1,10.0,77,6333869.0,,,1,2000-08-13 00:00:00,results_3172
3173,169,30,6,3.0,1,2.0,2,6.0,77,6341786.0,,,1,2000-08-13 00:00:00,results_3173
3174,169,14,1,2.0,2,3.0,3,4.0,77,6342324.0,,,1,2000-08-13 00:00:00,results_3174
3175,169,22,6,4.0,5,4.0,4,3.0,77,6378026.0,,,1,2000-08-13 00:00:00,results_3175
3176,169,23,3,9.0,4,5.0,5,2.0,77,6384306.0,,,1,2000-08-13 00:00:00,results_3176
3177,169,49,17,5.0,6,6.0,6,1.0,77,6401968.0,,,1,2000-08-13 00:00:00,results_3177
3178,169,15,17,6.0,12,7.0,7,0.0,76,,,,11,2000-08-13 00:00:00,results_3178
3179,169,56,19,7.0,10,8.0,8,0.0,76,,,,11,2000-08-13 00:00:00,results_3179
3180,169,18,3,10.0,8,9.0,9,0.0,76,,,,11,2000-08-13 00:00:00,results_3180
3181,169,63,15,17.0,9,10.0,10,0.0,76,,,,11,2000-08-13 00:00:00,results_3181
3182,169,25,22,12.0,11,11.0,11,0.0,76,,,,11,2000-08-13 00:00:00,results_3182
3183,169,35,16,22.0,16,12.0,12,0.0,75,,,,12,2000-08-13 00:00:00,results_3183
3184,169,50,21,19.0,20,13.0,13,0.0,75,,,,12,2000-08-13 00:00:00,results_3184
3185,169,41,16,23.0,18,14.0,14,0.0,75,,,,12,2000-08-13 00:00:00,results_3185
3186,169,48,18,20.0,21,15.0,15,0.0,74,,,,13,2000-08-13 00:00:00,results_3186
3187,169,37,21,18.0,15,16.0,16,0.0,73,,,,14,2000-08-13 00:00:00,results_3187
3188,169,60,18,21.0,22,,17,0.0,68,,,,5,2000-08-13 00:00:00,results_3188
3189,169,65,19,8.0,17,,18,0.0,67,,,,6,2000-08-13 00:00:00,results_3189
3190,169,64,15,16.0,13,,19,0.0,62,,,,7,2000-08-13 00:00:00,results_3190
3191,169,21,22,11.0,7,,20,0.0,31,,,,23,2000-08-13 00:00:00,results_3191
3192,169,2,20,15.0,19,,21,0.0,22,,,,10,2000-08-13 00:00:00,results_3192
3193,169,55,20,14.0,14,,22,0.0,11,,,,22,2000-08-13 00:00:00,results_3193
3194,170,57,1,1.0,1,1.0,1,10.0,44,5294494.0,,,1,2000-08-27 00:00:00,results_3194
3195,170,30,6,3.0,4,2.0,2,6.0,44,5295598.0,,,1,2000-08-27 00:00:00,results_3195
3196,170,23,3,9.0,6,3.0,3,4.0,44,5332590.0,,,1,2000-08-27 00:00:00,results_3196
3197,170,14,1,2.0,5,4.0,4,3.0,44,5337775.0,,,1,2000-08-27 00:00:00,results_3197
3198,170,18,3,10.0,3,5.0,5,2.0,44,5344408.0,,,1,2000-08-27 00:00:00,results_3198
3199,170,49,17,5.0,8,6.0,6,1.0,44,5350478.0,,,1,2000-08-27 00:00:00,results_3199
3200,170,35,16,22.0,7,7.0,7,0.0,44,5366874.0,,,1,2000-08-27 00:00:00,results_3200
3201,170,65,19,8.0,9,8.0,8,0.0,44,5382302.0,,,1,2000-08-27 00:00:00,results_3201
3202,170,63,15,17.0,18,9.0,9,0.0,44,5383164.0,,,1,2000-08-27 00:00:00,results_3202
3203,170,56,19,7.0,12,10.0,10,0.0,44,5386049.0,,,1,2000-08-27 00:00:00,results_3203
3204,170,64,15,16.0,15,11.0,11,0.0,44,5388617.0,,,1,2000-08-27 00:00:00,results_3204
3205,170,41,16,23.0,13,12.0,12,0.0,43,,,,11,2000-08-27 00:00:00,results_3205
3206,170,25,22,12.0,19,13.0,13,0.0,43,,,,11,2000-08-27 00:00:00,results_3206
3207,170,48,18,20.0,21,14.0,14,0.0,43,,,,11,2000-08-27 00:00:00,results_3207
3208,170,50,21,19.0,20,15.0,15,0.0,43,,,,11,2000-08-27 00:00:00,results_3208
3209,170,37,21,18.0,16,16.0,16,0.0,42,,,,12,2000-08-27 00:00:00,results_3209
3210,170,60,18,21.0,22,17.0,17,0.0,42,,,,12,2000-08-27 00:00:00,results_3210
3211,170,22,6,4.0,10,,18,0.0,32,,,,32,2000-08-27 00:00:00,results_3211
3212,170,55,20,14.0,17,,19,0.0,32,,,,32,2000-08-27 00:00:00,results_3212
3213,170,2,20,15.0,14,,20,0.0,12,,,,5,2000-08-27 00:00:00,results_3213
3214,170,21,22,11.0,11,,21,0.0,8,,,,10,2000-08-27 00:00:00,results_3214
3215,170,15,17,6.0,2,,22,0.0,4,,,,4,2000-08-27 00:00:00,results_3215
3216,171,30,6,3.0,1,1.0,1,10.0,53,5251638.0,,,1,2000-09-10 00:00:00,results_3216
3217,171,57,1,1.0,3,2.0,2,6.0,53,5255448.0,,,1,2000-09-10 00:00:00,results_3217
3218,171,23,3,9.0,7,3.0,3,4.0,53,5304070.0,,,1,2000-09-10 00:00:00,results_3218
3219,171,50,21,19.0,11,4.0,4,3.0,53,5311576.0,,,1,2000-09-10 00:00:00,results_3219
3220,171,25,22,12.0,13,5.0,5,2.0,53,5319064.0,,,1,2000-09-10 00:00:00,results_3220
3221,171,41,16,23.0,17,6.0,6,1.0,53,5320931.0,,,1,2000-09-10 00:00:00,results_3221
3222,171,63,15,17.0,15,7.0,7,0.0,52,,,,11,2000-09-10 00:00:00,results_3222
3223,171,64,15,16.0,16,8.0,8,0.0,52,,,,11,2000-09-10 00:00:00,results_3223
3224,171,48,18,20.0,21,9.0,9,0.0,52,,,,11,2000-09-10 00:00:00,results_3224
3225,171,60,18,21.0,22,10.0,10,0.0,52,,,,11,2000-09-10 00:00:00,results_3225
3226,171,21,22,11.0,9,11.0,11,0.0,52,,,,11,2000-09-10 00:00:00,results_3226
3227,171,55,20,14.0,19,12.0,12,0.0,51,,,,12,2000-09-10 00:00:00,results_3227
3228,171,2,20,15.0,20,,13,0.0,15,,,,20,2000-09-10 00:00:00,results_3228
3229,171,35,16,22.0,4,,14,0.0,14,,,,10,2000-09-10 00:00:00,results_3229
3230,171,18,3,10.0,12,,15,0.0,10,,,,20,2000-09-10 00:00:00,results_3230
3231,171,65,19,8.0,18,,16,0.0,1,,,,4,2000-09-10 00:00:00,results_3231
3232,171,22,6,4.0,2,,17,0.0,0,,,,4,2000-09-10 00:00:00,results_3232
3233,171,14,1,2.0,5,,18,0.0,0,,,,4,2000-09-10 00:00:00,results_3233
3234,171,15,17,6.0,6,,19,0.0,0,,,,4,2000-09-10 00:00:00,results_3234
3235,171,49,17,5.0,8,,20,0.0,0,,,,4,2000-09-10 00:00:00,results_3235
3236,171,37,21,18.0,10,,21,0.0,0,,,,4,2000-09-10 00:00:00,results_3236
3237,171,56,19,7.0,14,,22,0.0,0,,,,20,2000-09-10 00:00:00,results_3237
3238,172,30,6,3.0,1,1.0,1,10.0,73,5790883.0,,,1,2000-09-24 00:00:00,results_3238
3239,172,22,6,4.0,4,2.0,2,6.0,73,5803001.0,,,1,2000-09-24 00:00:00,results_3239
3240,172,49,17,5.0,7,3.0,3,4.0,73,5808251.0,,,1,2000-09-24 00:00:00,results_3240
3241,172,35,16,22.0,8,4.0,4,3.0,73,5808819.0,,,1,2000-09-24 00:00:00,results_3241
3242,172,14,1,2.0,2,5.0,5,2.0,73,5819696.0,,,1,2000-09-24 00:00:00,results_3242
3243,172,41,16,23.0,12,6.0,6,1.0,73,5842577.0,,,1,2000-09-24 00:00:00,results_3243
3244,172,56,19,7.0,17,7.0,7,0.0,73,5861998.0,,,1,2000-09-24 00:00:00,results_3244
3245,172,64,15,16.0,9,8.0,8,0.0,72,,,,11,2000-09-24 00:00:00,results_3245
3246,172,2,20,15.0,16,9.0,9,0.0,72,,,,11,2000-09-24 00:00:00,results_3246
3247,172,25,22,12.0,11,10.0,10,0.0,72,,,,11,2000-09-24 00:00:00,results_3247
3248,172,65,19,8.0,19,11.0,11,0.0,72,,,,11,2000-09-24 00:00:00,results_3248
3249,172,48,18,20.0,22,12.0,12,0.0,72,,,,11,2000-09-24 00:00:00,results_3249
3250,172,55,20,14.0,20,,13,0.0,64,,,,5,2000-09-24 00:00:00,results_3250
3251,172,60,18,21.0,21,,14,0.0,59,,,,5,2000-09-24 00:00:00,results_3251
3252,172,23,3,9.0,10,,15,0.0,58,,,,5,2000-09-24 00:00:00,results_3252
3253,172,37,21,18.0,18,,16,0.0,45,,,,6,2000-09-24 00:00:00,results_3253
3254,172,21,22,11.0,15,,17,0.0,44,,,,5,2000-09-24 00:00:00,results_3254
3255,172,50,21,19.0,13,,18,0.0,34,,,,23,2000-09-24 00:00:00,results_3255
3256,172,57,1,1.0,3,,19,0.0,25,,,,5,2000-09-24 00:00:00,results_3256
3257,172,63,15,17.0,14,,20,0.0,18,,,,20,2000-09-24 00:00:00,results_3257
3258,172,18,3,10.0,6,,21,0.0,14,,,,5,2000-09-24 00:00:00,results_3258
3259,172,15,17,6.0,5,,22,0.0,12,,,,4,2000-09-24 00:00:00,results_3259
3260,173,30,6,3.0,1,1.0,1,10.0,53,5393435.0,,,1,2000-10-08 00:00:00,results_3260
3261,173,57,1,1.0,2,2.0,2,6.0,53,5395272.0,,,1,2000-10-08 00:00:00,results_3261
3262,173,14,1,2.0,3,3.0,3,4.0,53,5463349.0,,,1,2000-10-08 00:00:00,results_3262
3263,173,22,6,4.0,4,4.0,4,3.0,53,5472626.0,,,1,2000-10-08 00:00:00,results_3263
3264,173,18,3,10.0,5,5.0,5,2.0,53,5479129.0,,,1,2000-10-08 00:00:00,results_3264
3265,173,35,16,22.0,9,6.0,6,1.0,52,,,,11,2000-10-08 00:00:00,results_3265
3266,173,65,19,8.0,10,7.0,7,0.0,52,,,,11,2000-10-08 00:00:00,results_3266
3267,173,56,19,7.0,7,8.0,8,0.0,52,,,,11,2000-10-08 00:00:00,results_3267
3268,173,41,16,23.0,18,9.0,9,0.0,52,,,,11,2000-10-08 00:00:00,results_3268
3269,173,63,15,17.0,19,10.0,10,0.0,52,,,,11,2000-10-08 00:00:00,results_3269
3270,173,64,15,16.0,20,11.0,11,0.0,52,,,,11,2000-10-08 00:00:00,results_3270
3271,173,37,21,18.0,13,12.0,12,0.0,52,,,,11,2000-10-08 00:00:00,results_3271
3272,173,15,17,6.0,15,13.0,13,0.0,52,,,,11,2000-10-08 00:00:00,results_3272
3273,173,21,22,11.0,12,14.0,14,0.0,52,,,,11,2000-10-08 00:00:00,results_3273
3274,173,60,18,21.0,22,15.0,15,0.0,51,,,,12,2000-10-08 00:00:00,results_3274
3275,173,48,18,20.0,21,,16,0.0,46,,,,5,2000-10-08 00:00:00,results_3275
3276,173,23,3,9.0,6,,17,0.0,41,,,,20,2000-10-08 00:00:00,results_3276
3277,173,2,20,15.0,16,,18,0.0,41,,,,22,2000-10-08 00:00:00,results_3277
3278,173,25,22,12.0,11,,19,0.0,37,,,,20,2000-10-08 00:00:00,results_3278
3279,173,49,17,5.0,8,,20,0.0,29,,,,9,2000-10-08 00:00:00,results_3279
3280,173,55,20,14.0,17,,21,0.0,19,,,,5,2000-10-08 00:00:00,results_3280
3281,173,50,21,19.0,14,,22,0.0,9,,,,10,2000-10-08 00:00:00,results_3281
3282,174,30,6,3.0,1,1.0,1,10.0,56,5754235.0,,,1,2000-10-22 00:00:00,results_3282
3283,174,14,1,2.0,3,2.0,2,6.0,56,5754967.0,,,1,2000-10-22 00:00:00,results_3283
3284,174,22,6,4.0,4,3.0,3,4.0,56,5772679.0,,,1,2000-10-22 00:00:00,results_3284
3285,174,57,1,1.0,2,4.0,4,3.0,56,5789504.0,,,1,2000-10-22 00:00:00,results_3285
3286,174,35,16,22.0,6,5.0,5,2.0,56,5824927.0,,,1,2000-10-22 00:00:00,results_3286
3287,174,56,19,7.0,7,6.0,6,1.0,56,5826803.0,,,1,2000-10-22 00:00:00,results_3287
3288,174,25,22,12.0,5,7.0,7,0.0,56,5843549.0,,,1,2000-10-22 00:00:00,results_3288
3289,174,63,15,17.0,17,8.0,8,0.0,55,,,,11,2000-10-22 00:00:00,results_3289
3290,174,21,22,11.0,13,9.0,9,0.0,55,,,,11,2000-10-22 00:00:00,results_3290
3291,174,50,21,19.0,15,10.0,10,0.0,55,,,,11,2000-10-22 00:00:00,results_3291
3292,174,55,20,14.0,18,11.0,11,0.0,55,,,,11,2000-10-22 00:00:00,results_3292
3293,174,15,17,6.0,9,12.0,12,0.0,55,,,,11,2000-10-22 00:00:00,results_3293
3294,174,60,18,21.0,22,13.0,13,0.0,50,,,,5,2000-10-22 00:00:00,results_3294
3295,174,65,19,8.0,12,,14,0.0,48,,,,22,2000-10-22 00:00:00,results_3295
3296,174,41,16,23.0,11,,15,0.0,46,,,,5,2000-10-22 00:00:00,results_3296
3297,174,23,3,9.0,8,,16,0.0,43,,,,5,2000-10-22 00:00:00,results_3297
3298,174,48,18,20.0,21,,17,0.0,36,,,,36,2000-10-22 00:00:00,results_3298
3299,174,18,3,10.0,16,,18,0.0,18,,,,5,2000-10-22 00:00:00,results_3299
3300,174,49,17,5.0,10,,19,0.0,7,,,,10,2000-10-22 00:00:00,results_3300
3301,174,37,21,18.0,14,,20,0.0,0,,,,4,2000-10-22 00:00:00,results_3301
3302,174,2,20,15.0,19,,21,0.0,0,,,,4,2000-10-22 00:00:00,results_3302
3303,174,64,15,16.0,20,,22,0.0,0,,,,4,2000-10-22 00:00:00,results_3303
3304,175,56,6,4.0,6,1.0,1,10.0,57,5701659.0,,,1,1999-03-07 00:00:00,results_3304
3305,175,49,17,8.0,5,2.0,2,6.0,57,5702686.0,,,1,1999-03-07 00:00:00,results_3305
3306,175,23,3,6.0,8,3.0,3,4.0,57,5708671.0,,,1,1999-03-07 00:00:00,results_3306
3307,175,21,22,9.0,7,4.0,4,3.0,57,5735077.0,,,1,1999-03-07 00:00:00,results_3307
3308,175,22,24,16.0,4,5.0,5,2.0,57,5756357.0,,,1,1999-03-07 00:00:00,results_3308
3309,175,37,21,14.0,18,6.0,6,1.0,57,5785976.0,,,1,1999-03-07 00:00:00,results_3309
3310,175,68,21,15.0,17,7.0,7,0.0,57,5787947.0,,,1,1999-03-07 00:00:00,results_3310
3311,175,30,6,3.0,3,8.0,8,0.0,56,,,,11,1999-03-07 00:00:00,results_3311
3312,175,41,16,23.0,19,,9,0.0,48,,,,6,1999-03-07 00:00:00,results_3312
