part_rownum|p_partkey|p_name|p_mfgr|p_brand|p_type|p_size|p_container|p_retailprice|p_comment
part_6354|6352|rosy plum light tomato wheat|Manufacturer#5           |Brand#53  |MEDIUM BURNISHED TIN|14|LG DRUM   |1258.35|t ideas affix along
part_6355|6353|drab linen blue steel floral|Manufacturer#5           |Brand#54  |LARGE PLATED COPPER|46|MED CAN   |1259.35|ain qui
part_6356|6354|lawn midnight olive plum blush|Manufacturer#4           |Brand#43  |SMALL PLATED NICKEL|22|MED PACK  |1260.35| final theodolites caj
part_6357|6355|burlywood moccasin beige dodger lace|Manufacturer#5           |Brand#55  |STANDARD BURNISHED COPPER|41|LG PACK   |1261.35|reful
part_6358|6356|moccasin magenta dim slate orchid|Manufacturer#3           |Brand#35  |STANDARD POLISHED STEEL|8|MED CASE  |1262.35|according to the 
part_6359|6357|chartreuse snow sandy saddle blush|Manufacturer#1           |Brand#12  |LARGE BURNISHED NICKEL|14|LG BAG    |1263.35|ng foxe
part_6360|6358|slate royal ghost cyan dark|Manufacturer#5           |Brand#51  |ECONOMY BURNISHED TIN|35|JUMBO PACK|1264.35|slyly fluffily 
part_6361|6359|cream mint yellow grey sandy|Manufacturer#3           |Brand#33  |PROMO BRUSHED BRASS|10|WRAP CAN  |1265.35|es are blithely.
part_6362|6360|floral drab salmon purple navy|Manufacturer#3           |Brand#32  |PROMO BRUSHED COPPER|26|JUMBO PACK|1266.36|al instructions a
part_6363|6361|orchid magenta indian cream ivory|Manufacturer#5           |Brand#55  |STANDARD PLATED TIN|35|MED PACK  |1267.36|ts use. slyly exp
part_6364|6362|maroon peru navy drab lawn|Manufacturer#2           |Brand#21  |SMALL PLATED COPPER|7|JUMBO PACK|1268.36|ecial accounts at 
part_6365|6363|midnight orange maroon forest tomato|Manufacturer#1           |Brand#12  |ECONOMY BRUSHED TIN|16|LG JAR    |1269.36|press the
part_6366|6364|yellow almond tan chartreuse cream|Manufacturer#5           |Brand#54  |ECONOMY ANODIZED COPPER|11|LG BAG    |1270.36|longside of th
part_6367|6365|maroon coral magenta salmon mint|Manufacturer#5           |Brand#55  |SMALL BRUSHED TIN|37|SM CASE   |1271.36|le fluffily reque
part_6368|6366|lawn blue rose gainsboro navajo|Manufacturer#5           |Brand#54  |STANDARD BURNISHED BRASS|23|SM BAG    |1272.36|he furiously d
part_6369|6367|dark papaya misty forest violet|Manufacturer#4           |Brand#44  |LARGE PLATED STEEL|14|MED DRUM  |1273.36|sleep after th
part_6370|6368|moccasin linen cornflower light chartreuse|Manufacturer#3           |Brand#31  |MEDIUM POLISHED BRASS|2|SM CASE   |1274.36|r the depo
part_6371|6369|chocolate lawn navajo violet antique|Manufacturer#4           |Brand#44  |MEDIUM POLISHED TIN|4|WRAP PKG  |1275.36|riously specia
part_6372|6370|dodger sienna pink aquamarine sky|Manufacturer#5           |Brand#53  |LARGE ANODIZED TIN|28|LG PKG    |1276.37|ctions
part_6373|6371|peach chocolate dark midnight frosted|Manufacturer#2           |Brand#24  |STANDARD PLATED BRASS|7|LG JAR    |1277.37|ely even reques
part_6374|6372|plum wheat tomato blue dim|Manufacturer#2           |Brand#22  |STANDARD PLATED BRASS|5|SM CAN    |1278.37|e fluf
part_6375|6373|royal gainsboro pale lemon misty|Manufacturer#5           |Brand#52  |STANDARD ANODIZED BRASS|40|MED DRUM  |1279.37| across the slyly ex
part_6376|6374|navajo white plum lemon midnight|Manufacturer#5           |Brand#53  |ECONOMY BRUSHED STEEL|40|MED CAN   |1280.37|xpress 
part_6377|6375|dim peach cornsilk magenta gainsboro|Manufacturer#3           |Brand#33  |MEDIUM ANODIZED NICKEL|3|LG CAN    |1281.37|eodolites. ironic r
part_6378|6376|white coral burlywood ivory ghost|Manufacturer#3           |Brand#32  |LARGE BURNISHED STEEL|22|JUMBO JAR |1282.37|to the busily fi
part_6379|6377|magenta black burnished lawn blush|Manufacturer#1           |Brand#12  |MEDIUM BURNISHED COPPER|38|LG BAG    |1283.37|fily eve
part_6380|6378|turquoise dim pale red tomato|Manufacturer#5           |Brand#52  |STANDARD ANODIZED COPPER|21|JUMBO BAG |1284.37|furiously final ide
part_6381|6379|almond magenta light violet chiffon|Manufacturer#3           |Brand#31  |LARGE ANODIZED COPPER|27|JUMBO CAN |1285.37|hout the 
part_6382|6380|sky saddle azure yellow cornflower|Manufacturer#3           |Brand#33  |LARGE BRUSHED NICKEL|29|WRAP JAR  |1286.38|the quic
part_6383|6381|seashell chocolate midnight cyan misty|Manufacturer#2           |Brand#25  |LARGE BURNISHED BRASS|49|WRAP BOX  |1287.38|nag quickly q
part_6384|6382|orange peru chartreuse linen honeydew|Manufacturer#4           |Brand#42  |MEDIUM BRUSHED BRASS|8|SM JAR    |1288.38|s lose blithely 
part_6385|6383|slate light spring magenta snow|Manufacturer#2           |Brand#22  |MEDIUM POLISHED STEEL|4|WRAP BAG  |1289.38|gular asymptotes. 
part_6386|6384|dark snow maroon spring cornsilk|Manufacturer#5           |Brand#51  |SMALL ANODIZED BRASS|18|LG PKG    |1290.38|unts. blithely dar
part_6387|6385|sienna white gainsboro peach aquamarine|Manufacturer#1           |Brand#11  |LARGE BURNISHED NICKEL|24|WRAP BOX  |1291.38|s slee
part_6388|6386|navy azure blue chiffon papaya|Manufacturer#2           |Brand#24  |STANDARD POLISHED NICKEL|18|MED BAG   |1292.38|furiously. 
part_6389|6387|slate firebrick orchid light azure|Manufacturer#4           |Brand#45  |STANDARD BURNISHED COPPER|25|SM PKG    |1293.38|ar instructions. caref
part_6390|6388|seashell pale maroon floral coral|Manufacturer#2           |Brand#23  |PROMO POLISHED TIN|47|SM DRUM   |1294.38|onic package
part_6391|6389|antique blush green khaki purple|Manufacturer#5           |Brand#51  |STANDARD PLATED BRASS|12|JUMBO PACK|1295.38|r foxes. blithely b
part_6392|6390|bisque pink gainsboro rose lavender|Manufacturer#3           |Brand#32  |PROMO BRUSHED BRASS|22|MED BOX   |1296.39|ctions cajole about
part_6393|6391|rosy powder yellow linen cyan|Manufacturer#2           |Brand#25  |LARGE BURNISHED COPPER|1|LG DRUM   |1297.39|unusua
part_6394|6392|linen orchid navajo white ivory|Manufacturer#5           |Brand#53  |ECONOMY POLISHED COPPER|28|MED BAG   |1298.39|furiousl
part_6395|6393|cornflower dodger khaki rose blush|Manufacturer#4           |Brand#42  |PROMO ANODIZED TIN|32|JUMBO PACK|1299.39|oxes. regular accou
part_6396|6394|salmon pink dim azure tomato|Manufacturer#1           |Brand#12  |PROMO BRUSHED TIN|26|MED PACK  |1300.39|cording to the pe
part_6397|6395|hot turquoise rose ghost burnished|Manufacturer#3           |Brand#33  |LARGE BRUSHED TIN|22|MED BOX   |1301.39|quickly i
part_6398|6396|dim cornflower frosted pale purple|Manufacturer#3           |Brand#34  |MEDIUM PLATED BRASS|8|SM BAG    |1302.39|t the enticingly fina
part_6399|6397|turquoise ivory hot rosy violet|Manufacturer#3           |Brand#34  |STANDARD PLATED COPPER|9|SM JAR    |1303.39|accounts sle
part_6400|6398|papaya sandy black forest lace|Manufacturer#1           |Brand#13  |ECONOMY BURNISHED BRASS|31|SM BOX    |1304.39|ve the iro
part_6401|6399|papaya saddle midnight sky aquamarine|Manufacturer#4           |Brand#42  |LARGE BURNISHED COPPER|30|SM JAR    |1305.39|nstruction
part_6402|6400|royal papaya navajo rose thistle|Manufacturer#4           |Brand#42  |SMALL ANODIZED COPPER|14|SM DRUM   |1306.40|d the ironic instruc
part_6403|6401|floral smoke saddle antique mint|Manufacturer#3           |Brand#33  |SMALL BRUSHED STEEL|11|SM BAG    |1307.40|ial dolphins abov
part_6404|6402|lawn light puff dark deep|Manufacturer#1           |Brand#12  |STANDARD POLISHED NICKEL|35|MED JAR   |1308.40|he carefully ironi
part_6405|6403|chiffon tan navajo grey plum|Manufacturer#2           |Brand#21  |LARGE ANODIZED BRASS|28|WRAP BOX  |1309.40|e blithely. sly
part_6406|6404|rosy turquoise saddle ghost lace|Manufacturer#2           |Brand#22  |PROMO BURNISHED COPPER|29|SM DRUM   |1310.40| requ
part_6407|6405|wheat metallic sandy ivory spring|Manufacturer#3           |Brand#33  |LARGE ANODIZED STEEL|24|LG BAG    |1311.40| the ironic frays
part_6408|6406|dim metallic burnished plum salmon|Manufacturer#2           |Brand#25  |PROMO ANODIZED BRASS|41|LG CAN    |1312.40|furio
part_6409|6407|blue red forest azure violet|Manufacturer#2           |Brand#25  |STANDARD POLISHED TIN|36|LG CASE   |1313.40|y regular requests sl
part_6410|6408|turquoise frosted tomato navy moccasin|Manufacturer#5           |Brand#54  |PROMO PLATED TIN|23|JUMBO PKG |1314.40| accounts 
part_6411|6409|frosted plum dark purple aquamarine|Manufacturer#1           |Brand#12  |PROMO POLISHED TIN|7|SM CAN    |1315.40|osits. regu
part_6412|6410|violet misty rosy antique olive|Manufacturer#4           |Brand#44  |PROMO BURNISHED TIN|12|MED CAN   |1316.41|pecial instruc
part_6413|6411|lemon deep almond red yellow|Manufacturer#1           |Brand#14  |STANDARD PLATED TIN|11|WRAP PKG  |1317.41| the furiously sp
part_6414|6412|misty plum moccasin slate orchid|Manufacturer#1           |Brand#11  |MEDIUM PLATED COPPER|37|JUMBO CAN |1318.41|its. ev
part_6415|6413|peach azure cornsilk chocolate brown|Manufacturer#5           |Brand#51  |SMALL PLATED TIN|11|SM CASE   |1319.41|inal a
part_6416|6414|ghost floral khaki aquamarine hot|Manufacturer#4           |Brand#43  |PROMO BURNISHED TIN|20|WRAP DRUM |1320.41|tructions haggle 
part_6417|6415|forest saddle royal maroon slate|Manufacturer#5           |Brand#55  |STANDARD BRUSHED STEEL|28|WRAP BOX  |1321.41|pending packag
part_6418|6416|firebrick ivory tomato chiffon floral|Manufacturer#3           |Brand#31  |PROMO PLATED BRASS|22|JUMBO CASE|1322.41|lyly around t
part_6419|6417|lace dark thistle medium navajo|Manufacturer#1           |Brand#13  |PROMO BURNISHED STEEL|23|SM PKG    |1323.41|its nod 
part_6420|6418|rose puff orange moccasin royal|Manufacturer#2           |Brand#22  |PROMO PLATED NICKEL|6|JUMBO CASE|1324.41|furio
part_6421|6419|chartreuse seashell lemon floral pale|Manufacturer#1           |Brand#11  |STANDARD POLISHED TIN|47|MED CAN   |1325.41|s. perman
part_6422|6420|azure sky honeydew puff papaya|Manufacturer#2           |Brand#24  |ECONOMY POLISHED BRASS|36|WRAP CAN  |1326.42|reful
part_6423|6421|sienna peru lace dodger mint|Manufacturer#2           |Brand#23  |LARGE POLISHED STEEL|10|MED PKG   |1327.42|tructions. dogged
part_6424|6422|olive dark black wheat navy|Manufacturer#2           |Brand#24  |MEDIUM ANODIZED STEEL|39|MED PACK  |1328.42| the s
part_6425|6423|magenta ghost pale blue honeydew|Manufacturer#3           |Brand#33  |SMALL PLATED TIN|36|LG BOX    |1329.42| even packages hagg
part_6426|6424|rosy khaki black burlywood floral|Manufacturer#1           |Brand#13  |LARGE POLISHED BRASS|17|JUMBO BOX |1330.42| pinto beans h
part_6427|6425|dodger lawn honeydew ghost blush|Manufacturer#1           |Brand#12  |STANDARD POLISHED BRASS|50|LG PKG    |1331.42|ackages. blithel
part_6428|6426|green steel frosted burlywood puff|Manufacturer#2           |Brand#23  |LARGE PLATED TIN|44|LG CASE   |1332.42|long the carefull
part_6429|6427|thistle powder floral bisque sienna|Manufacturer#1           |Brand#14  |MEDIUM POLISHED BRASS|28|SM JAR    |1333.42| the 
part_6430|6428|chartreuse lime burlywood magenta lawn|Manufacturer#4           |Brand#43  |SMALL POLISHED NICKEL|38|JUMBO CAN |1334.42|ironic dependenci
part_6431|6429|olive tomato rose blue maroon|Manufacturer#2           |Brand#22  |SMALL ANODIZED TIN|36|JUMBO DRUM|1335.42|ess blithely around t
part_6432|6430|turquoise tan indian olive ghost|Manufacturer#2           |Brand#22  |SMALL PLATED STEEL|3|LG JAR    |1336.43| regular asymptotes 
part_6433|6431|yellow beige pale gainsboro orchid|Manufacturer#4           |Brand#45  |ECONOMY BRUSHED COPPER|50|WRAP BOX  |1337.43|ironic epitaphs. pint
part_6434|6432|floral spring snow papaya black|Manufacturer#2           |Brand#23  |LARGE PLATED TIN|33|SM BOX    |1338.43|s. quick, spec
part_6435|6433|khaki peru turquoise blanched lemon|Manufacturer#1           |Brand#14  |ECONOMY BRUSHED BRASS|19|LG DRUM   |1339.43|dencies doubt. unusu
part_6436|6434|midnight aquamarine chartreuse powder khaki|Manufacturer#3           |Brand#35  |MEDIUM ANODIZED NICKEL|46|SM BOX    |1340.43|e slyly
part_6437|6435|frosted wheat royal grey ghost|Manufacturer#5           |Brand#51  |ECONOMY ANODIZED TIN|12|MED JAR   |1341.43|press pack
part_6438|6436|navy saddle misty blanched gainsboro|Manufacturer#3           |Brand#34  |PROMO BURNISHED BRASS|40|MED CAN   |1342.43|across
part_6439|6437|brown drab mint sky chocolate|Manufacturer#3           |Brand#31  |PROMO POLISHED BRASS|16|LG CAN    |1343.43| special re
part_6440|6438|ivory coral misty steel salmon|Manufacturer#5           |Brand#52  |ECONOMY POLISHED BRASS|23|LG CASE   |1344.43|ly express instr
part_6441|6439|thistle steel lace chocolate chiffon|Manufacturer#5           |Brand#55  |SMALL ANODIZED COPPER|41|LG JAR    |1345.43|arefully bold
part_6442|6440|floral dim almond ghost thistle|Manufacturer#1           |Brand#12  |SMALL BURNISHED COPPER|32|LG PKG    |1346.44|ously pending r
part_6443|6441|peach honeydew red blush puff|Manufacturer#1           |Brand#13  |MEDIUM POLISHED COPPER|16|SM JAR    |1347.44|deposi
part_6444|6442|magenta ivory orange coral grey|Manufacturer#4           |Brand#41  |ECONOMY BRUSHED TIN|22|WRAP PACK |1348.44|ckages. ca
part_6445|6443|rose misty brown lavender orange|Manufacturer#5           |Brand#55  |LARGE PLATED BRASS|26|JUMBO JAR |1349.44|ep quietly across
part_6446|6444|blanched frosted blush forest burnished|Manufacturer#4           |Brand#41  |ECONOMY ANODIZED NICKEL|15|SM JAR    |1350.44| ironic accounts si
part_6447|6445|navy lemon grey sky rosy|Manufacturer#1           |Brand#11  |LARGE ANODIZED STEEL|9|SM CAN    |1351.44|pinto beans haggle c
part_6448|6446|almond floral metallic blush azure|Manufacturer#5           |Brand#52  |PROMO ANODIZED STEEL|29|SM BOX    |1352.44|y regula
part_6449|6447|olive purple chiffon linen magenta|Manufacturer#2           |Brand#21  |SMALL PLATED COPPER|48|WRAP BOX  |1353.44| sleep. blithely
part_6450|6448|tomato chartreuse chocolate seashell moccasin|Manufacturer#1           |Brand#12  |SMALL ANODIZED NICKEL|17|LG BOX    |1354.44| fluffily. regula
part_6451|6449|yellow orchid cream puff dark|Manufacturer#3           |Brand#34  |SMALL BURNISHED STEEL|12|LG PACK   |1355.44|special d
part_6452|6450|puff light red goldenrod salmon|Manufacturer#5           |Brand#55  |PROMO ANODIZED BRASS|14|LG PKG    |1356.45|equests w
part_6453|6451|chartreuse cream deep moccasin hot|Manufacturer#1           |Brand#13  |LARGE POLISHED COPPER|27|WRAP CASE |1357.45| haggle slyly qui
part_6454|6452|red steel magenta frosted firebrick|Manufacturer#2           |Brand#22  |PROMO ANODIZED STEEL|36|MED DRUM  |1358.45|regular reque
part_6455|6453|peach wheat sienna dark black|Manufacturer#5           |Brand#51  |MEDIUM BURNISHED TIN|37|MED JAR   |1359.45|y. blithely silen
part_6456|6454|wheat olive papaya pale goldenrod|Manufacturer#4           |Brand#41  |LARGE BRUSHED BRASS|20|MED DRUM  |1360.45|ackages. slyl
part_6457|6455|rose snow olive grey navajo|Manufacturer#5           |Brand#51  |LARGE BURNISHED COPPER|14|WRAP JAR  |1361.45|nic dep
part_6458|6456|lemon almond spring ghost forest|Manufacturer#4           |Brand#43  |SMALL POLISHED STEEL|22|JUMBO JAR |1362.45|e furiously bold depo
part_6459|6457|antique pink yellow salmon coral|Manufacturer#3           |Brand#33  |LARGE BURNISHED NICKEL|50|MED BAG   |1363.45| unusual, 
part_6460|6458|turquoise wheat honeydew maroon midnight|Manufacturer#2           |Brand#25  |MEDIUM POLISHED STEEL|11|SM CAN    |1364.45|s sleep blithely abov
part_6461|6459|navajo almond ghost chartreuse plum|Manufacturer#1           |Brand#14  |MEDIUM BRUSHED STEEL|14|JUMBO BOX |1365.45|d the ideas nag
part_6462|6460|peach rose spring snow moccasin|Manufacturer#4           |Brand#44  |PROMO ANODIZED STEEL|36|MED DRUM  |1366.46| reque
part_6463|6461|black navy khaki sandy ivory|Manufacturer#2           |Brand#21  |MEDIUM BURNISHED BRASS|33|JUMBO PKG |1367.46|ular accounts hag
part_6464|6462|papaya lemon lime misty light|Manufacturer#4           |Brand#45  |MEDIUM BRUSHED NICKEL|16|JUMBO DRUM|1368.46|ns sleep 
part_6465|6463|linen rose blue white honeydew|Manufacturer#3           |Brand#31  |PROMO BRUSHED BRASS|11|LG BOX    |1369.46| sometime
part_6466|6464|blanched spring chiffon lace indian|Manufacturer#3           |Brand#31  |PROMO PLATED BRASS|20|JUMBO PKG |1370.46|thely ideas.
part_6467|6465|metallic cornsilk purple light firebrick|Manufacturer#3           |Brand#35  |SMALL ANODIZED NICKEL|41|LG JAR    |1371.46|he busily regu
part_6468|6466|thistle azure orange honeydew ivory|Manufacturer#5           |Brand#54  |LARGE ANODIZED NICKEL|33|MED DRUM  |1372.46|lithely
part_6469|6467|forest sandy azure thistle pale|Manufacturer#4           |Brand#41  |MEDIUM BURNISHED TIN|3|SM BOX    |1373.46|lites. caref
part_6470|6468|grey honeydew cornsilk light firebrick|Manufacturer#1           |Brand#15  |SMALL ANODIZED BRASS|1|JUMBO CASE|1374.46| regular a
part_6471|6469|turquoise navajo indian olive forest|Manufacturer#1           |Brand#14  |MEDIUM ANODIZED STEEL|8|WRAP JAR  |1375.46|ged req
part_6472|6470|cornflower khaki powder blue black|Manufacturer#4           |Brand#43  |SMALL PLATED COPPER|45|WRAP CAN  |1376.47|ts int
part_6473|6471|cyan drab almond red burnished|Manufacturer#4           |Brand#41  |ECONOMY ANODIZED COPPER|40|WRAP PACK |1377.47|g pinto beans dete
part_6474|6472|cornflower metallic cream bisque plum|Manufacturer#2           |Brand#23  |PROMO POLISHED STEEL|36|SM PACK   |1378.47|al courts wake fur
part_6475|6473|royal linen antique cornsilk cyan|Manufacturer#3           |Brand#31  |ECONOMY ANODIZED COPPER|35|LG CASE   |1379.47| packages wake s
part_6476|6474|navy sandy khaki gainsboro tan|Manufacturer#5           |Brand#51  |MEDIUM ANODIZED BRASS|25|SM BAG    |1380.47|nding attainments.
part_6477|6475|peru peach navajo white lemon|Manufacturer#4           |Brand#41  |LARGE BURNISHED COPPER|39|LG BAG    |1381.47|special reque
part_6478|6476|peru thistle moccasin olive smoke|Manufacturer#4           |Brand#42  |MEDIUM POLISHED NICKEL|42|JUMBO JAR |1382.47|uriously 
part_6479|6477|antique black seashell deep burnished|Manufacturer#3           |Brand#34  |SMALL BURNISHED NICKEL|6|MED BAG   |1383.47| careful, ironic 
part_6480|6478|bisque royal seashell floral coral|Manufacturer#1           |Brand#12  |ECONOMY ANODIZED TIN|29|MED DRUM  |1384.47| deposits. pending, do
part_6481|6479|rose maroon powder orange snow|Manufacturer#3           |Brand#33  |MEDIUM BURNISHED NICKEL|22|WRAP JAR  |1385.47| the final, regul
part_6482|6480|floral spring beige black cornsilk|Manufacturer#5           |Brand#54  |STANDARD ANODIZED TIN|3|WRAP BAG  |1386.48|re. quickly ir
part_6483|6481|green khaki cornsilk misty lavender|Manufacturer#4           |Brand#42  |SMALL BRUSHED BRASS|26|LG JAR    |1387.48|ages sleep flu
part_6484|6482|indian sky orchid orange chocolate|Manufacturer#4           |Brand#44  |MEDIUM POLISHED NICKEL|24|LG CASE   |1388.48| ironic asymptotes wak
part_6485|6483|almond blush navy mint ghost|Manufacturer#3           |Brand#35  |PROMO ANODIZED STEEL|5|JUMBO CAN |1389.48|ccounts nag
part_6486|6484|smoke drab peach pale misty|Manufacturer#2           |Brand#25  |PROMO PLATED COPPER|1|WRAP BAG  |1390.48|w slyly pendi
part_6487|6485|cream saddle slate floral frosted|Manufacturer#2           |Brand#24  |MEDIUM POLISHED TIN|26|MED BAG   |1391.48|. quickl
part_6488|6486|frosted indian drab seashell ghost|Manufacturer#2           |Brand#23  |PROMO BRUSHED TIN|22|WRAP PACK |1392.48|ithely regular dep
part_6489|6487|slate dodger linen drab green|Manufacturer#1           |Brand#11  |ECONOMY ANODIZED TIN|46|SM BOX    |1393.48|e even
part_6490|6488|puff royal spring firebrick honeydew|Manufacturer#4           |Brand#44  |ECONOMY BURNISHED BRASS|4|LG BOX    |1394.48|atelet
part_6491|6489|ivory dodger floral antique plum|Manufacturer#5           |Brand#53  |STANDARD ANODIZED BRASS|28|LG CASE   |1395.48|hes. ironically unusua
part_6492|6490|cream gainsboro slate puff spring|Manufacturer#3           |Brand#34  |SMALL PLATED COPPER|36|MED CASE  |1396.49|packages. furiously fi
part_6493|6491|blue goldenrod rose lawn lavender|Manufacturer#2           |Brand#21  |SMALL ANODIZED STEEL|13|SM DRUM   |1397.49|ests boost sly
part_6494|6492|navy burnished deep cornflower sandy|Manufacturer#5           |Brand#55  |SMALL POLISHED STEEL|47|WRAP JAR  |1398.49|s play carefully 
part_6495|6493|antique turquoise snow gainsboro slate|Manufacturer#5           |Brand#52  |SMALL PLATED COPPER|36|MED PACK  |1399.49|s. silent, even d
part_6496|6494|brown cyan light peach ivory|Manufacturer#1           |Brand#12  |LARGE BRUSHED BRASS|11|LG BOX    |1400.49|packages. bl
part_6497|6495|bisque dark orange lawn frosted|Manufacturer#4           |Brand#42  |LARGE BURNISHED NICKEL|27|SM PACK   |1401.49|posits around the
part_6498|6496|sienna blue goldenrod bisque magenta|Manufacturer#3           |Brand#35  |MEDIUM BRUSHED BRASS|2|JUMBO CAN |1402.49|e quick
part_6499|6497|lace plum black deep almond|Manufacturer#4           |Brand#45  |PROMO BURNISHED TIN|46|WRAP CAN  |1403.49|ly above the
part_6500|6498|grey tomato rosy blanched brown|Manufacturer#1           |Brand#14  |SMALL POLISHED TIN|26|WRAP PACK |1404.49| packages
part_6501|6499|cornflower magenta dodger metallic spring|Manufacturer#2           |Brand#23  |STANDARD POLISHED BRASS|46|WRAP PKG  |1405.49|sts are s
part_6502|6500|antique deep almond black aquamarine|Manufacturer#2           |Brand#23  |ECONOMY ANODIZED STEEL|1|WRAP DRUM |1406.50|detect slyly
part_6503|6501|medium snow floral yellow sky|Manufacturer#2           |Brand#22  |SMALL ANODIZED TIN|46|JUMBO BOX |1407.50|sleep quickly e
part_6504|6502|cornflower saddle lemon spring peru|Manufacturer#2           |Brand#23  |LARGE POLISHED COPPER|6|LG BOX    |1408.50|ending, brave
part_6505|6503|royal almond papaya gainsboro orchid|Manufacturer#4           |Brand#42  |SMALL BRUSHED NICKEL|1|MED CASE  |1409.50| deposits cajole furio
part_6506|6504|orange salmon dark wheat purple|Manufacturer#3           |Brand#34  |PROMO BRUSHED TIN|48|SM PACK   |1410.50|gle slyly ironic, sile
part_6507|6505|lavender metallic burlywood almond khaki|Manufacturer#4           |Brand#42  |ECONOMY ANODIZED STEEL|4|LG JAR    |1411.50| special i
part_6508|6506|slate green navy burlywood almond|Manufacturer#5           |Brand#52  |MEDIUM PLATED COPPER|44|LG CAN    |1412.50|de of the express
part_6509|6507|thistle lemon orchid lace beige|Manufacturer#1           |Brand#14  |STANDARD PLATED COPPER|47|WRAP CAN  |1413.50|uctions haggl
part_6510|6508|beige maroon almond misty cornflower|Manufacturer#4           |Brand#44  |SMALL BURNISHED STEEL|10|SM JAR    |1414.50|even accou
part_6511|6509|sienna misty thistle medium powder|Manufacturer#3           |Brand#32  |MEDIUM ANODIZED STEEL|27|LG PKG    |1415.50|ackages for t
part_6512|6510|indian aquamarine hot yellow drab|Manufacturer#5           |Brand#52  |MEDIUM BURNISHED BRASS|29|LG JAR    |1416.51|sts across the
part_6513|6511|burnished hot navy steel peru|Manufacturer#3           |Brand#33  |STANDARD BURNISHED TIN|39|MED JAR   |1417.51|gular excuses. fluf
part_6514|6512|light coral wheat powder rosy|Manufacturer#2           |Brand#25  |STANDARD PLATED BRASS|3|JUMBO CASE|1418.51|efully expres
part_6515|6513|moccasin cornsilk misty frosted honeydew|Manufacturer#5           |Brand#53  |ECONOMY BURNISHED STEEL|21|LG BAG    |1419.51| ironic dolphins i
part_6516|6514|violet spring powder saddle burnished|Manufacturer#5           |Brand#51  |SMALL PLATED BRASS|28|JUMBO PACK|1420.51|al excuses ca
part_6517|6515|sienna khaki brown linen purple|Manufacturer#2           |Brand#21  |SMALL BURNISHED BRASS|2|MED CAN   |1421.51|accoun
part_6518|6516|azure sandy ghost orange antique|Manufacturer#3           |Brand#35  |ECONOMY BURNISHED TIN|9|LG CASE   |1422.51|ar pa
part_6519|6517|metallic grey plum olive cyan|Manufacturer#4           |Brand#41  |SMALL BURNISHED COPPER|21|MED PACK  |1423.51|nstructi
part_6520|6518|honeydew goldenrod floral white yellow|Manufacturer#3           |Brand#31  |SMALL BRUSHED NICKEL|16|WRAP CASE |1424.51|according t
part_6521|6519|indian seashell cream azure coral|Manufacturer#4           |Brand#45  |STANDARD ANODIZED NICKEL|17|LG PACK   |1425.51|ckly regular 
part_6522|6520|green honeydew cyan yellow peru|Manufacturer#2           |Brand#22  |PROMO PLATED STEEL|4|LG DRUM   |1426.52|y steal
part_6523|6521|misty powder black linen forest|Manufacturer#2           |Brand#24  |PROMO BURNISHED NICKEL|42|SM CASE   |1427.52|osits after the
part_6524|6522|lavender almond spring navy blanched|Manufacturer#2           |Brand#24  |ECONOMY BURNISHED TIN|16|SM PACK   |1428.52|s dazzle: careful
part_6525|6523|hot maroon lawn moccasin ivory|Manufacturer#1           |Brand#11  |MEDIUM ANODIZED STEEL|43|MED BOX   |1429.52|out the quickly 
part_6526|6524|powder blue linen brown peru|Manufacturer#1           |Brand#15  |PROMO BURNISHED TIN|34|MED CASE  |1430.52|unts detect quick
part_6527|6525|ghost dim antique honeydew dodger|Manufacturer#1           |Brand#11  |PROMO POLISHED COPPER|11|JUMBO BOX |1431.52|rding t
part_6528|6526|forest black azure ghost beige|Manufacturer#4           |Brand#41  |ECONOMY PLATED COPPER|26|MED PKG   |1432.52|accounts wake careful
part_6529|6527|lace coral royal deep sienna|Manufacturer#2           |Brand#21  |ECONOMY PLATED STEEL|33|SM BOX    |1433.52|theodolite
part_6530|6528|midnight orange floral dim cyan|Manufacturer#5           |Brand#51  |PROMO ANODIZED COPPER|34|SM DRUM   |1434.52|decoys 
part_6531|6529|sienna turquoise olive dark tomato|Manufacturer#1           |Brand#15  |SMALL BRUSHED STEEL|7|SM BOX    |1435.52|ld accou
part_6532|6530|lawn maroon azure rosy blue|Manufacturer#3           |Brand#33  |ECONOMY ANODIZED COPPER|33|JUMBO CASE|1436.53|ual packages
part_6533|6531|floral metallic medium honeydew firebrick|Manufacturer#2           |Brand#22  |LARGE BURNISHED COPPER|28|WRAP CASE |1437.53|ths after the 
part_6534|6532|navajo burnished misty blue sandy|Manufacturer#5           |Brand#54  |SMALL BRUSHED COPPER|20|SM DRUM   |1438.53| theodolites detect 
part_6535|6533|misty slate cream forest olive|Manufacturer#3           |Brand#35  |SMALL ANODIZED NICKEL|41|WRAP PKG  |1439.53|symptotes
part_6536|6534|blue metallic midnight forest powder|Manufacturer#3           |Brand#32  |STANDARD BRUSHED STEEL|11|WRAP JAR  |1440.53|reful
part_6537|6535|linen thistle sandy brown chocolate|Manufacturer#5           |Brand#53  |SMALL POLISHED COPPER|8|JUMBO JAR |1441.53|ular packa
part_6538|6536|rosy plum violet peru lemon|Manufacturer#2           |Brand#22  |ECONOMY BRUSHED NICKEL|31|WRAP BAG  |1442.53|aggle. reg
