orders_rownum|o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment
orders_22931|91623|12484|F|5580.09|1995-03-07|3-MEDIUM       |Clerk#000000018|0| fluffily ironic accounts; carefully furious a
orders_22932|91648|12943|F|71469.02|1994-04-30|2-HIGH         |Clerk#000000905|0|eodolites boost carefully across the stealthil
orders_22933|91649|2617|F|46977.73|1994-04-30|3-MEDIUM       |Clerk#000000804|0|ss furiously special, silen
orders_22934|91650|10603|O|31585.73|1996-05-08|1-URGENT       |Clerk#000000523|0| regular ideas. deposits sleep according to the fl
orders_22935|91651|13370|O|164209.28|1998-07-19|5-LOW          |Clerk#000000158|0|al requests poach above the excuses. furiously regular decoys ea
orders_22936|91652|12875|O|57004.83|1997-01-20|1-URGENT       |Clerk#000000690|0|ar excuses according to the deposits haggle unusual 
orders_22937|91653|12137|O|119112.84|1995-06-09|4-NOT SPECIFIED|Clerk#000000372|0|s. pending, pending accounts among the depths wake furiou
orders_22938|91654|11443|F|3128.19|1993-09-16|5-LOW          |Clerk#000000614|0|fily ironic packages alongside of the furiously unusual pint
orders_22939|91655|779|F|112912.12|1993-05-23|4-NOT SPECIFIED|Clerk#000000840|0|lithely alongside of the accounts. foxes ca
orders_22940|91680|2608|O|68014.26|1996-11-07|2-HIGH         |Clerk#000000567|0|ly ironic accounts. slyly pending deposits affix quickl
orders_22941|91681|14833|O|256985.62|1996-05-18|4-NOT SPECIFIED|Clerk#000000252|0|. express platelets wake furiously re
orders_22942|91682|12883|P|71748.57|1995-05-31|4-NOT SPECIFIED|Clerk#000000130|0|ly fluffily final pinto beans. d
orders_22943|91683|1184|O|207586.91|1998-04-21|2-HIGH         |Clerk#000000855|0| carefully unusual requests print atop the regular epi
orders_22944|91684|1645|F|70256.23|1994-01-07|2-HIGH         |Clerk#000000912|0|slyly silent requests among the ironic, pend
orders_22945|91685|11191|O|295846.49|1995-11-05|4-NOT SPECIFIED|Clerk#000000587|0|es. unusual dinos haggle carefully along the regular, even dolphins. blithely
orders_22946|91686|14144|F|99059.85|1992-06-24|5-LOW          |Clerk#000000240|0| pending packages against the enticingly bold deposits dazzle acc
orders_22947|91687|14272|O|184545.68|1995-10-18|3-MEDIUM       |Clerk#000000063|0|silent, express instruction
orders_22948|91712|8155|O|132564.23|1996-08-11|4-NOT SPECIFIED|Clerk#000000850|0|ly regular ideas boost quickly blithely regular accounts. blithely special
orders_22949|91713|1054|F|105866.31|1993-03-21|2-HIGH         |Clerk#000000510|0|anent dependencies across the furiously express foxes mold across the qu
orders_22950|91714|10250|O|218474.69|1996-01-08|2-HIGH         |Clerk#000000411|0|e express foxes. ca
orders_22951|91715|4630|F|140779.86|1994-11-26|2-HIGH         |Clerk#000000194|0|ets. quickly close asymptotes above the silent packages 
orders_22952|91716|3283|F|30386.46|1994-08-24|2-HIGH         |Clerk#000000009|0|arefully special accounts run carefully theo
orders_22953|91717|13429|F|219687.09|1993-01-01|5-LOW          |Clerk#000000760|0|ts unwind furiously according to the quickly bo
orders_22954|91718|1516|O|168752.76|1998-03-16|3-MEDIUM       |Clerk#000000459|0|uffily. slyly unusual excuses sleep across the qu
orders_22955|91719|7273|O|85331.69|1998-02-07|2-HIGH         |Clerk#000000691|0|xes. carefully even instructi
orders_22956|91744|2455|O|276765.73|1995-06-12|5-LOW          |Clerk#000000856|0|osits wake carefully about the excuses. bold deposits nag.
orders_22957|91745|14491|F|152098.78|1992-07-04|5-LOW          |Clerk#000000513|0|ly final packages. blithely final accounts cajole above the even accounts
orders_22958|91746|3799|O|236920.50|1995-11-16|3-MEDIUM       |Clerk#000000342|0|es dazzle furiously carefully bold ideas. express, ironic requests among the
orders_22959|91747|12295|F|157138.78|1994-09-18|4-NOT SPECIFIED|Clerk#000000591|0|ggle among the blithely unusual instructions. furiously unusual reque
orders_22960|91748|12346|F|245478.67|1993-02-16|3-MEDIUM       |Clerk#000000082|0|. ironic, bold packages sleep blithely fu
orders_22961|91749|2222|F|306431.58|1992-03-03|4-NOT SPECIFIED|Clerk#000000374|0|x above the requests. ironic packages are among the even theo
orders_22962|91750|12730|O|180957.57|1995-06-26|5-LOW          |Clerk#000000706|0|ly unusual packages. final deposits cajole slyly even, even a
orders_22963|91751|121|O|268583.84|1997-05-02|3-MEDIUM       |Clerk#000000524|0|hely ironic excuses are quick, silent theodol
orders_22964|91776|6562|O|126081.70|1996-05-28|4-NOT SPECIFIED|Clerk#000000062|0| deposits detect blithely instead of the final pinto beans. blit
orders_22965|91777|11995|O|53011.35|1998-02-14|4-NOT SPECIFIED|Clerk#000000016|0|lar packages. fluffily final pinto beans are slyly. carefully regular foxes l
orders_22966|91778|5939|F|143141.88|1993-03-24|4-NOT SPECIFIED|Clerk#000000487|0|totes. final packages above the pendi
orders_22967|91779|511|F|126840.82|1993-02-25|4-NOT SPECIFIED|Clerk#000000538|0|osits detect slyly. ironic foxes hang. regular accounts around t
orders_22968|91780|8389|F|177456.88|1995-02-13|3-MEDIUM       |Clerk#000000931|0|ular packages. silent, regular platelets are
orders_22969|91781|10853|O|181847.33|1997-10-21|1-URGENT       |Clerk#000000542|0| the unusual requests. furiously ironic foxes are blit
orders_22970|91782|4483|F|259683.96|1994-06-19|4-NOT SPECIFIED|Clerk#000000628|0|equests sleep slyly. carefully pending i
orders_22971|91783|14194|O|46998.93|1996-09-20|4-NOT SPECIFIED|Clerk#000000775|0|ing requests might nag furiously quickly express ideas-- expr
orders_22972|91808|1801|F|188970.72|1994-01-16|2-HIGH         |Clerk#000000215|0|ironic ideas. furiously ironic packages x-ray slyly final pinto beans
orders_22973|91809|7325|P|175472.03|1995-05-09|2-HIGH         |Clerk#000000591|0|. carefully pending theodolites haggle slyly blithely 
orders_22974|91810|1847|F|246898.55|1994-09-12|4-NOT SPECIFIED|Clerk#000000642|0|ously even accounts cajol
orders_22975|91811|1652|F|27769.98|1993-08-03|2-HIGH         |Clerk#000000066|0|usly special multipliers sleep sometimes about the fluffily regular depos
orders_22976|91812|4892|F|188413.29|1994-01-16|5-LOW          |Clerk#000000517|0|. ironic, silent foxes according to the silent, pending requests sleep after
orders_22977|91813|9472|O|150168.16|1997-11-01|5-LOW          |Clerk#000000094|0|heodolites unwind about the deposits. blithely furious dependen
orders_22978|91814|9616|O|176546.54|1996-02-15|5-LOW          |Clerk#000000478|0|requests boost fluffily. slyly bold foxes hang about the tithes. special
orders_22979|91815|4978|F|73763.73|1995-04-03|3-MEDIUM       |Clerk#000000937|0|otes. carefully express theodolites are carefully above the unusual
orders_22980|91840|10816|O|185285.58|1996-02-20|3-MEDIUM       |Clerk#000000747|0|ully final accounts. frays cajo
orders_22981|91841|13214|F|214494.43|1993-06-26|3-MEDIUM       |Clerk#000000832|0|ng platelets promise even ideas. fluffi
orders_22982|91842|8579|O|212198.89|1996-03-14|3-MEDIUM       |Clerk#000000324|0|onic warthogs sleep quickly thinly ironic ideas. furiously ev
orders_22983|91843|1495|F|291315.37|1995-01-02|3-MEDIUM       |Clerk#000000719|0|lyly even platelets cajole blithely furiously ironic packages. 
orders_22984|91844|13216|F|234364.16|1993-03-17|1-URGENT       |Clerk#000000215|0|old theodolites across the furiously ironic inst
orders_22985|91845|233|F|323229.77|1992-08-05|4-NOT SPECIFIED|Clerk#000000232|0|dle above the excuses. carefully q
orders_22986|91846|13537|O|157536.60|1996-12-10|2-HIGH         |Clerk#000000758|0|s! silent requests cajole carefully quickly 
orders_22987|91847|911|F|54283.14|1993-12-17|4-NOT SPECIFIED|Clerk#000000591|0|te carefully slyly express frets. slyly ironic dependencies sleep qui
orders_22988|91872|4885|F|83957.75|1994-05-13|2-HIGH         |Clerk#000000482|0| accounts. carefully dogged packages cajole carefully even deposits. slyly reg
orders_22991|91875|14105|F|155956.08|1994-12-29|3-MEDIUM       |Clerk#000000859|0|ccounts cajole fluffily against the carefully pending deposit
orders_22992|91876|7118|O|1491.20|1996-07-08|3-MEDIUM       |Clerk#000000096|0|oost among the deposits. quickly pe
orders_22993|91877|11941|F|162278.32|1993-12-03|4-NOT SPECIFIED|Clerk#000000867|0|thely above the slyly ironic acco
orders_22994|91878|10777|O|223374.49|1998-02-16|4-NOT SPECIFIED|Clerk#000000031|0|requests. fluffily special ideas haggle carefully among the fur
orders_22995|91879|5254|F|45644.94|1993-09-27|4-NOT SPECIFIED|Clerk#000000865|0|ow along the slyly silent accounts. carefully regular requests are care
orders_22996|91904|11144|F|234797.06|1992-04-04|4-NOT SPECIFIED|Clerk#000000752|0|e fluffily ironic foxes sleep
orders_22997|91905|6470|O|4843.32|1996-07-01|3-MEDIUM       |Clerk#000000583|0|olphins might affix fluffily according to the excuses. ir
orders_22998|91906|5233|O|187359.12|1998-03-28|1-URGENT       |Clerk#000000815|0| solve. final ideas serve according to
orders_22999|91907|133|O|194042.73|1997-03-03|3-MEDIUM       |Clerk#000000847|0|ily bold deposits. regular pinto beans haggle quickly. sl
orders_23000|91908|4208|O|269285.34|1997-02-16|1-URGENT       |Clerk#000000431|0|eodolites are furiously packages. blithely final requests aff
orders_23001|91909|3128|F|138854.59|1993-07-16|2-HIGH         |Clerk#000000786|0|sly ironic packages are slyly according to the fluffil
orders_23002|91910|14666|F|206630.40|1993-02-24|2-HIGH         |Clerk#000000135|0| cajole. slyly regular theodolites sleep carefully regu
orders_23003|91911|3217|O|36608.76|1996-10-18|1-URGENT       |Clerk#000000105|0|nstructions. slowly enticing 
orders_23004|91936|8902|F|8634.27|1994-12-23|1-URGENT       |Clerk#000000394|0|ng to the blithely enticing ideas solve a
orders_23005|91937|5297|O|214470.48|1997-11-29|5-LOW          |Clerk#000000576|0|re. daringly unusual
orders_23006|91938|13126|O|181511.71|1996-09-30|3-MEDIUM       |Clerk#000000675|0|s nod busily above the ironic instructions. spe
orders_23007|91939|4201|O|118374.75|1996-06-12|4-NOT SPECIFIED|Clerk#000000916|0|ve the dependencies. daring, ironic deposits sleep blithel
orders_23008|91940|253|F|168739.12|1992-01-27|5-LOW          |Clerk#000000626|0|regular pinto beans boost furiously packages. busy 
orders_23009|91941|8833|F|180851.47|1992-01-07|4-NOT SPECIFIED|Clerk#000000291|0| instructions use accounts. blithely special requests believe f
orders_23010|91942|13916|O|99171.81|1998-03-23|5-LOW          |Clerk#000000464|0| carefully express accounts. instructions do use under the furiously r
orders_23011|91943|6011|O|348544.86|1996-03-14|5-LOW          |Clerk#000000619|0|silent requests integrate never. final accounts according to the slyly silent 
orders_23012|91968|3166|F|27452.32|1992-08-01|5-LOW          |Clerk#000000369|0|ut the packages. blithel
orders_23013|91969|1337|F|109794.74|1993-10-08|3-MEDIUM       |Clerk#000000662|0| permanent foxes thrash slyly final, special asymptotes? fina
orders_23014|91970|7678|F|218467.68|1994-03-03|3-MEDIUM       |Clerk#000000542|0|nt pinto beans wake! even, regular requests sleep furiously among 
orders_23015|91971|6598|O|57182.02|1996-04-24|1-URGENT       |Clerk#000000131|0|ly special asymptotes! permanently idle pinto beans cajole 
orders_23016|91972|4928|O|47338.45|1997-03-29|2-HIGH         |Clerk#000000831|0|uests maintain carefully.
orders_23017|91973|4181|O|157009.90|1996-12-12|3-MEDIUM       |Clerk#000000067|0| the final, final accou
orders_23018|91974|7600|O|231972.97|1998-06-27|5-LOW          |Clerk#000000346|0|lent requests haggle along the quickly special accounts. even, regular idea
orders_23019|91975|4688|F|62626.76|1992-10-23|3-MEDIUM       |Clerk#000000365|0|nic, special deposits use furiously. carefully regular foxes nag
orders_23020|92000|10844|F|68742.77|1992-02-03|2-HIGH         |Clerk#000000878|0|es. blithely regular theodolites before the deposits
orders_23021|92001|12806|O|159817.18|1998-05-16|5-LOW          |Clerk#000000369|0|y bold theodolites thrash furiously al
orders_23022|92002|131|O|121046.69|1996-09-09|2-HIGH         |Clerk#000000353|0|s. regular theodolit
orders_23023|92003|7858|O|212819.66|1997-08-10|2-HIGH         |Clerk#000000045|0|ial asymptotes. furiously final deposits cajole
orders_23024|92004|5974|O|168940.60|1998-04-19|5-LOW          |Clerk#000000611|0|y. blithely ironic requests sleep boldly even, even deposits. instructions wak
orders_23025|92005|8497|F|82508.55|1993-06-19|1-URGENT       |Clerk#000000045|0|eep regular accounts. carefully re
orders_23026|92006|12554|O|124047.79|1997-06-16|4-NOT SPECIFIED|Clerk#000000268|0|n theodolites. quickly regular ac
orders_23027|92007|10837|F|159589.31|1993-09-26|1-URGENT       |Clerk#000000087|0|ipliers sleep blithely carefully final theodolites.
orders_23028|92032|12254|O|26327.10|1996-04-01|3-MEDIUM       |Clerk#000000005|0| the furiously final accounts; ironic pinto 
orders_23029|92033|10435|O|187579.97|1997-11-11|4-NOT SPECIFIED|Clerk#000000431|0|. carefully ironic deposits wake. regular reques
orders_23030|92034|14956|O|112854.52|1996-12-16|5-LOW          |Clerk#000000114|0|packages: furiously regular ideas detect quickly furio
orders_23031|92035|14983|O|161901.86|1996-08-16|4-NOT SPECIFIED|Clerk#000000372|0|lar foxes haggle carefully regular, special packages. furiously silent depo
orders_23032|92036|5236|F|119955.13|1992-08-13|5-LOW          |Clerk#000000226|0| deposits are silently carefully pending excuses. blithely express pearls wa
orders_23033|92037|10709|O|126566.02|1997-11-01|5-LOW          |Clerk#000000798|0|accounts sublate carefully stealthily even ideas. final instructio
orders_23034|92038|3970|P|146189.23|1995-04-18|2-HIGH         |Clerk#000000847|0|sly final theodolites. furiously regular deposit
orders_23035|92039|2149|O|383783.64|1995-12-24|1-URGENT       |Clerk#000001000|0| platelets use furiously ac
orders_23036|92064|10900|O|153769.96|1996-02-17|1-URGENT       |Clerk#000000308|0|quests according to the ruthlessly even deposits promi
orders_23037|92065|14218|P|116449.64|1995-04-16|3-MEDIUM       |Clerk#000000425|0| slyly final requests could have to haggle slyly regular th
orders_23038|92066|1268|O|228358.01|1995-08-22|1-URGENT       |Clerk#000000634|0|gside of the fluffily
orders_23039|92067|14227|O|165699.51|1998-07-20|1-URGENT       |Clerk#000000613|0|the slyly even somas. blithely even deposits sleep sl
orders_23040|92068|503|O|152568.51|1996-09-23|1-URGENT       |Clerk#000000626|0|s. dogged instructions sleep blithely busy excuses. blithely brave theo
orders_23041|92069|9727|O|199801.11|1996-07-17|5-LOW          |Clerk#000000681|0| deposits cajole slyly at the carefully regular packages. express, unusual pla
orders_23042|92070|2081|F|61718.22|1994-08-17|1-URGENT       |Clerk#000000711|0|furiously slyly sly deposits. furiously final waters about the special accou
orders_23043|92071|208|O|34847.48|1997-04-26|5-LOW          |Clerk#000000064|0|equests hang carefully. q
orders_23044|92096|622|O|34902.42|1995-11-25|2-HIGH         |Clerk#000000474|0|ly. carefully regular accounts with the bold warthogs sleep slyly iro
orders_23045|92097|13873|O|242164.32|1996-04-13|5-LOW          |Clerk#000000842|0|ts are above the sly
orders_23046|92098|11767|O|118449.51|1997-02-04|1-URGENT       |Clerk#000000781|0|ng deposits about the
orders_23047|92099|10135|O|199990.58|1997-04-30|2-HIGH         |Clerk#000000767|0|furiously final accounts. 
orders_23048|92100|2191|O|134613.70|1997-12-05|4-NOT SPECIFIED|Clerk#000000442|0|ar deposits. final accounts boost slyly. caref
orders_23049|92101|12829|O|215022.89|1995-11-18|5-LOW          |Clerk#000000632|0|s. furiously regular accounts haggle furiously slyly final r
orders_23050|92102|2176|O|173662.74|1996-12-19|1-URGENT       |Clerk#000000793|0|y. unusual accounts wake quickly along the fluffily even 
orders_23051|92103|12467|F|16092.16|1994-01-29|4-NOT SPECIFIED|Clerk#000000430|0|ions! furiously regular account
orders_23052|92128|14870|O|115254.31|1996-05-16|4-NOT SPECIFIED|Clerk#000000263|0|r, pending foxes cajole slyly even foxes. carefully even accounts wake fluffi
orders_23053|92129|14996|F|158859.81|1995-01-02|4-NOT SPECIFIED|Clerk#000000183|0|ar instructions. furiou
orders_23054|92130|3253|F|221503.26|1992-01-13|2-HIGH         |Clerk#000000077|0|heodolites use quickly bold pinto beans. sl
orders_23055|92131|13778|F|49518.59|1992-05-17|2-HIGH         |Clerk#000000026|0|heodolites haggle carefully. 
orders_23056|92132|14095|O|260870.47|1996-05-20|1-URGENT       |Clerk#000000853|0|, daring deposits. quickly ir
orders_23057|92133|5104|F|41832.53|1993-10-25|2-HIGH         |Clerk#000000552|0|orbits nag slyly above the unusual id
orders_23058|92134|1723|F|231848.60|1992-04-10|1-URGENT       |Clerk#000000798|0|ularly up the furiously pending notornis. bold, pending packages are furiou
orders_23059|92135|7427|O|12521.75|1996-04-08|5-LOW          |Clerk#000000454|0|carefully bold ideas. carefully pending accounts haggle. asymptotes sl
orders_23060|92160|10423|O|233944.25|1996-10-11|3-MEDIUM       |Clerk#000000460|0|s use blithely alongside of the pinto beans. pe
orders_23061|92161|8582|F|106852.79|1992-12-22|1-URGENT       |Clerk#000000462|0|uests. always ironic packages haggle slyly regular dependencies. flu
orders_23062|92162|11047|O|279452.33|1996-09-16|4-NOT SPECIFIED|Clerk#000000991|0|lent accounts cajole carefully alongs
orders_23063|92163|12122|O|56153.46|1997-04-21|3-MEDIUM       |Clerk#000000395|0|the carefully unusual deposits sleep final accounts. ruthless
orders_23064|92164|9778|O|24792.81|1998-02-27|1-URGENT       |Clerk#000000706|0|eodolites. regular, ironic platelets wake quickly silent requests. furiously r
orders_23065|92165|11648|O|212057.17|1997-08-12|5-LOW          |Clerk#000000911|0|after the finally regular asymptotes nag carefully ide
orders_23066|92166|1177|F|300851.36|1993-03-31|1-URGENT       |Clerk#000000856|0|e thin deposits wake regularl
orders_23067|92167|7930|F|23136.57|1994-09-16|5-LOW          |Clerk#000000418|0|ecial instructions.
orders_23068|92192|11986|F|72270.24|1994-11-11|3-MEDIUM       |Clerk#000000204|0|ackages. blithely express accoun
orders_23069|92193|9049|F|100170.05|1994-06-07|1-URGENT       |Clerk#000000765|0| regular ideas wake furiously about the fluffily even pa
orders_23070|92194|14398|F|153907.88|1993-06-03|2-HIGH         |Clerk#000000548|0|uriously sly ideas use quickly even
orders_23071|92195|1378|O|261573.71|1996-07-17|4-NOT SPECIFIED|Clerk#000000676|0|fully pending packages. blith
orders_23072|92196|7100|F|57445.72|1992-09-04|4-NOT SPECIFIED|Clerk#000000225|0|ual foxes. pinto beans nod. fu
orders_23073|92197|14443|F|83177.21|1994-11-08|2-HIGH         |Clerk#000000181|0|sts promise along the carefully eve
orders_23074|92198|10193|F|150810.74|1994-09-17|2-HIGH         |Clerk#000000154|0|le carefully excuses. final requests breach slyly r
orders_23075|92199|6520|F|179015.99|1992-07-13|4-NOT SPECIFIED|Clerk#000000664|0|lly special dependencies. ideas ab
orders_23076|92224|8344|F|227420.37|1995-01-08|3-MEDIUM       |Clerk#000000402|0|pinto beans. unusual, unusual ide
orders_23077|92225|2957|F|273733.71|1993-03-21|5-LOW          |Clerk#000000840|0|o beans against the blithely final deposits d
orders_23079|92227|6182|O|254047.27|1995-07-13|3-MEDIUM       |Clerk#000000135|0|kly bold foxes cajole finally after the asymptotes. express accounts above
orders_23080|92228|10888|F|339546.01|1992-01-14|5-LOW          |Clerk#000000470|0|zzle ironically after the express instructions; evenly express dugo
orders_23081|92229|10409|O|278088.10|1995-08-23|3-MEDIUM       |Clerk#000000792|0|tes about the even theodolites nag slyly slyly express
orders_23082|92230|3857|O|126284.09|1998-02-04|1-URGENT       |Clerk#000000068|0|packages cajole after
orders_23083|92231|9649|O|37137.24|1995-12-23|2-HIGH         |Clerk#000000504|0|gular excuses cajole furiously special, regu
orders_23084|92256|4616|F|27478.40|1994-01-22|2-HIGH         |Clerk#000000701|0|r deposits. blithely final 
orders_23085|92257|9929|O|127540.65|1998-02-17|4-NOT SPECIFIED|Clerk#000000017|0| even requests do use fluffil
orders_23086|92258|5122|F|165050.88|1994-04-14|4-NOT SPECIFIED|Clerk#000000926|0|al requests sleep-- finally regular wa
orders_23087|92259|986|F|235908.21|1994-10-24|3-MEDIUM       |Clerk#000000573|0|press deposits wake furiously unusual packages. even, regular asymptotes 
orders_23088|92260|1478|O|88925.16|1995-09-29|4-NOT SPECIFIED|Clerk#000000777|0|tes. blithely final packages sleep excuses. quickly express requests wa
orders_23089|92261|11398|O|40445.28|1998-04-12|2-HIGH         |Clerk#000000697|0|ions above the final dinos wake fluffi
orders_23090|92262|9808|F|11817.83|1992-07-20|4-NOT SPECIFIED|Clerk#000000168|0|ick deposits about the e
orders_23091|92263|12704|F|184103.58|1994-11-25|3-MEDIUM       |Clerk#000000417|0|nts at the blithely special theodolites x-ray furiousl
orders_23092|92288|10351|F|222288.79|1995-01-29|3-MEDIUM       |Clerk#000000319|0|lyly! furiously special t
orders_23093|92289|8990|F|38926.54|1994-04-30|5-LOW          |Clerk#000000837|0|en ideas haggle. slyly final platelets cajole quickly fur
orders_23094|92290|14959|O|217582.04|1996-10-29|3-MEDIUM       |Clerk#000000015|0| beans. quickly bold gifts in
orders_23095|92291|11386|O|179763.00|1996-06-02|5-LOW          |Clerk#000000014|0|grate carefully! fluffil
orders_23096|92292|13804|O|105603.88|1997-12-07|3-MEDIUM       |Clerk#000000373|0|le furiously express ideas. ca
orders_23097|92293|11416|O|85715.20|1998-03-12|2-HIGH         |Clerk#000000036|0|ctions haggle furiously after the sly accounts. qui
orders_23098|92294|11119|F|133014.07|1995-02-15|5-LOW          |Clerk#000000593|0|into beans at the permanently silent
orders_23099|92295|7444|F|183283.45|1993-11-25|1-URGENT       |Clerk#000000393|0|final accounts haggle fluffily around the fluff
orders_23100|92320|2666|F|67742.84|1994-08-18|4-NOT SPECIFIED|Clerk#000000222|0|lets sleep quickly regular, even packages. carefu
orders_23101|92321|9893|O|76585.05|1997-01-02|2-HIGH         |Clerk#000000494|0|unusual instructions haggle carefully final i
orders_23102|92322|8654|O|53665.06|1997-05-31|4-NOT SPECIFIED|Clerk#000000262|0|nd the packages use carefully quickly r
orders_23103|92323|73|F|45352.99|1994-06-21|1-URGENT       |Clerk#000000295|0|blithe patterns. regular, express pinto beans na
orders_23104|92324|9302|F|157661.41|1992-02-06|5-LOW          |Clerk#000000157|0| pending instructions. qu
orders_23105|92325|2992|P|212478.62|1995-05-27|2-HIGH         |Clerk#000000960|0|nusual instructions. si
orders_23106|92326|2425|F|210283.09|1995-01-12|3-MEDIUM       |Clerk#000000188|0| wake carefully carefully final packages. spe
orders_23107|92327|13673|O|137032.78|1998-03-14|3-MEDIUM       |Clerk#000000360|0|as solve across the final accounts. slyly pending pinto beans above
orders_23108|92352|9950|F|74840.33|1993-04-29|5-LOW          |Clerk#000000633|0|uests above the even requests are slyly unusual requests. foxes haggle above t
orders_23109|92353|9418|F|267117.09|1994-09-22|1-URGENT       |Clerk#000000716|0| regular deposits ca
orders_23110|92354|10268|F|92514.34|1993-11-21|3-MEDIUM       |Clerk#000000787|0|nto beans boost carefu
orders_23111|92355|7646|O|204541.57|1996-04-25|3-MEDIUM       |Clerk#000000530|0|he carefully regular packages. quickly regular foxes solve blithely.
orders_23112|92356|5630|O|32201.99|1995-06-16|4-NOT SPECIFIED|Clerk#000000512|0|. blithely final foxes according to the blithely special accounts integr
orders_23113|92357|12592|F|160636.36|1993-05-26|4-NOT SPECIFIED|Clerk#000000403|0|olphins affix carefully unusual deposits. dependencies cajole acros
orders_23114|92358|3974|F|77366.88|1994-05-04|4-NOT SPECIFIED|Clerk#000000477|0|s nag against the accou
orders_23115|92359|3569|F|101598.16|1992-12-03|4-NOT SPECIFIED|Clerk#000000379|0|efully carefully final platel
orders_23116|92384|4865|F|178320.24|1993-07-30|4-NOT SPECIFIED|Clerk#000000664|0|c pinto beans. furi
orders_23117|92385|4775|F|257412.22|1994-03-03|3-MEDIUM       |Clerk#000000877|0|eodolites. asymptotes across t
orders_23118|92386|14308|F|60151.43|1992-06-12|2-HIGH         |Clerk#000000292|0| blithely quick accounts. special reques
orders_23119|92387|11632|O|274764.33|1995-06-21|2-HIGH         |Clerk#000000753|0|encies. slyly ironic instru
orders_23120|92388|2932|O|102513.98|1998-06-26|5-LOW          |Clerk#000000839|0|s are furiously? fluffily ironic packages cajole furiously ideas. instr
orders_23121|92389|10289|O|25209.07|1998-07-18|2-HIGH         |Clerk#000000384|0|beans. furiously regular packages boost tithes. 
orders_23122|92390|14635|O|196803.07|1998-01-17|1-URGENT       |Clerk#000000557|0|y even asymptotes cajole carefully unusual 
orders_23123|92391|10561|O|65828.43|1995-05-12|1-URGENT       |Clerk#000000993|0|s hinder furiously requests. fluffily 
orders_23124|92416|5164|O|39556.06|1997-01-11|4-NOT SPECIFIED|Clerk#000000020|0|ven tithes. pending theodolites wake carefully. fluf
orders_23125|92417|6889|F|208985.70|1993-11-08|1-URGENT       |Clerk#000000529|0|riously: never regular pearls use blithely carefully ironic asym
orders_23126|92418|9586|O|287209.23|1995-06-03|1-URGENT       |Clerk#000000353|0|s along the slyly re
orders_23127|92419|4204|F|26506.11|1995-02-04|2-HIGH         |Clerk#000000745|0|e quickly ironic requests sleep daringly carefully
orders_23128|92420|11335|O|148930.62|1995-11-03|2-HIGH         |Clerk#000000902|0|about the even asymptotes. thinly ironic packag
orders_23129|92421|2711|F|91371.88|1993-11-14|5-LOW          |Clerk#000000582|0| doubt carefully. quickly eve
orders_23130|92422|5110|P|79259.93|1995-04-16|4-NOT SPECIFIED|Clerk#000000969|0| ruthlessly unusual patterns. silently ironic pinto beans against the slyly
orders_23131|92423|1825|O|60656.00|1998-01-18|3-MEDIUM       |Clerk#000000071|0|s above the even theodolites wake furiously qu
orders_23132|92448|8503|F|55925.03|1993-03-12|1-URGENT       |Clerk#000000958|0|its. furiously express theodolites affix slyly above the slyly special i
orders_23133|92449|4756|O|3822.45|1998-01-14|5-LOW          |Clerk#000000821|0|s. multipliers cajole blithely above the final somas
orders_23134|92450|1093|F|175086.61|1995-03-01|3-MEDIUM       |Clerk#000000474|0| regular packages sleep fluffily after the blithely pending 
orders_23135|92451|4771|O|255550.43|1995-12-10|5-LOW          |Clerk#000000287|0|dolites. special pinto beans haggle accord
orders_23136|92452|1819|O|136063.31|1995-12-12|1-URGENT       |Clerk#000000904|0|equests. pending ideas are. accounts 
orders_23137|92453|1277|F|52846.13|1993-12-19|1-URGENT       |Clerk#000000655|0| dolphins nag regular ideas. care
orders_23138|92454|7984|O|219581.90|1997-10-18|5-LOW          |Clerk#000000581|0|sly ironic deposits. even requests boost furiously furiou
orders_23139|92455|4798|F|128830.96|1994-07-26|5-LOW          |Clerk#000000841|0|quests are fluffily regular foxes. ironic deposits affix carefully.
orders_23140|92480|13912|O|175525.43|1997-02-14|3-MEDIUM       |Clerk#000000385|0|are at the fluffily silent dolphins. ideas can haggle careful
orders_23141|92481|3353|O|41723.65|1996-10-28|4-NOT SPECIFIED|Clerk#000000220|0|e pinto beans cajole carefully blithely unusual excuse
orders_23142|92482|4930|F|145735.65|1993-02-12|5-LOW          |Clerk#000000020|0|dependencies use carefully 
orders_23143|92483|6475|F|62733.58|1994-08-17|2-HIGH         |Clerk#000000124|0|. final requests are furiously q
orders_23144|92484|796|F|11781.65|1994-01-03|5-LOW          |Clerk#000000797|0|inal packages: fluffily final asympto
orders_23145|92485|14704|O|178232.57|1996-07-26|3-MEDIUM       |Clerk#000000550|0| accounts wake silen
orders_23146|92486|9898|O|285472.99|1996-10-20|2-HIGH         |Clerk#000000212|0|ites across the furiously thin foxes cajole blithely foxes. instruc
orders_23147|92487|14972|O|155659.98|1996-06-14|1-URGENT       |Clerk#000000447|0| special, regular excuse
orders_23148|92512|7810|O|54081.36|1997-01-23|3-MEDIUM       |Clerk#000000616|0|ackages. ironic pinto beans wake fluffily fluffily fina
orders_23149|92513|9059|O|61888.15|1996-06-08|1-URGENT       |Clerk#000000899|0| are furiously final th
